Company,Role(s),Location Type,Location,Salary,Contact Email,Apply URL,HN Comment,HN Poster,HN Profile,Poster Info,Description
Wick,Applied AI Product Engineer,Remote,Remote,Not stated,stephanie@wick.io,Email above,https://news.ycombinator.com/item?id=47979161,SHeinrichatWick,https://news.ycombinator.com/user?id=SHeinrichatWick,No profile info,"Audience intelligence platform. Own the AI experience end-to-end: write prompts, evaluate outputs, ship products."
Rootly,"Senior AI Engineer (LLM engineering, AI agents)",Remote,"Remote (Toronto hybrid also option)",Not stated,,https://rootly.com/careers,https://news.ycombinator.com/item?id=47979394,rootlyhq,https://news.ycombinator.com/user?id=rootlyhq,No profile info,"AI-native incident management used by Cisco, NVIDIA, Figma, Replit. Building LLM engineers and AI agents for reliability workflows."
Olli Health,Senior AI Engineer,Remote,"Remote (US/Canada)",~$180K+,,https://ollihealth.ai,https://news.ycombinator.com/item?id=47979929,onejgordon,https://news.ycombinator.com/user?id=onejgordon,"Prediction in brains and agents — jgordon.io","Home health AI documentation and ICD-10 coding. Team from Amazon, Google, Cohere Health."
Gladly,"Staff Software Engineer, AI & Automation",Remote,Remote (US),$60K–$215K + equity,,https://www.gladly.ai/careers,https://news.ycombinator.com/item?id=47977919,gerad,https://news.ycombinator.com/user?id=gerad,gerad.suyderhoud.com,"Retail customer service AI live in production with Crate & Barrel, Sephora, REI."
INDATA,AI Development Associate,Remote,"Remote (US) or San Diego",$95K–$115K,,https://forms.microsoft.com/Pages/ResponsePage.aspx?id=-HA4S8H3ZEOivoRjEzsRTs-fT_LyHWtBu0A1ESVTrctUMjhWTFBCODBHT1dDREc3VllQNklFQUNFNS4u,https://news.ycombinator.com/item?id=47975598,jnelsonindata,https://news.ycombinator.com/user?id=jnelsonindata,No profile info,"Extending agentic AI copilot for portfolio management. Text-to-SQL, RAG over internal docs, action tools. Stack: Python/FastAPI, LangGraph, LangSmith, Anthropic + OpenAI."
Cogram,Multiple AI/ML roles,Remote,"Remote (US/EU/UK)",Not stated,,https://cogram.com,https://news.ycombinator.com/item?id=47979286,alexvboe,https://news.ycombinator.com/user?id=alexvboe,No profile info,"AI agents for architects and engineers. Automates project management and streamlines CAD/BIM for leading AEC firms."
Form AI,Full-Stack AI Engineer,Remote,"Remote (US) or Austin",$75K+ (contract),jobs@formai.build,https://formai.build/jobs,https://news.ycombinator.com/item?id=47977662,oliveratform,https://news.ycombinator.com/user?id=oliveratform,No profile info,"AI fluency/integration startup. Build custom AI applications end-to-end for executive clients."
Starbridge,Senior Engineer — Applied AI + Software,Remote,"Remote (or NYC)",Not stated,recruiting@starbridge.ai,https://starbridge.ai/careers,https://news.ycombinator.com/item?id=47977858,melissamrec,https://news.ycombinator.com/user?id=melissamrec,No profile info,"AI platform turning large-scale public and enterprise data into reliable sales insights. Early stage, high ownership."
Vornoy,"Software Engineer (RAG, MCP, OLAP, data pipelines)",Remote,Remote (US),$90K–$110K,john@vornoy.com,Email above,https://news.ycombinator.com/item?id=47976903,user3939382,https://news.ycombinator.com/user?id=user3939382,"rick@jrcii.com","Heavy backend — ETL, data pipelines, modeling. Stack: Python, React, FastAPI, ClickHouse, Spark, Kafka, MCP, RAG."
AI Healthcare Startup (unnamed),Applied AI Engineering,Remote,"Remote (US, Pacific timezone)",Not stated,may2026-jobpost@waldrews.anonaddy.com,Email above,https://news.ycombinator.com/item?id=47980891,waldrews,https://news.ycombinator.com/user?id=waldrews,No profile info,"AI Healthcare for health systems. C#, Python, Gemini API on Windows. Cost-effective, reliable AI in constrained enterprise environments."
